"","PC1","PC2","PC3"
"C..Glaphyrocanthon.22",0.398209438641599,0.00188669042460815,0.00518793221197653
"C..Glaphyrocanthon.23",0.501558544860452,-0.0484669902334858,-0.0173614050926942
"C..Glaphyrocanthon.24",0.421691132333643,0.00798626383054399,-0.0148183668139477
"C..Glaphyrocanthon.25",0.492292097444143,-0.00255192866515151,-0.0188908419125705
"C..Glaphyrocanthon.26",0.550200208187315,0.0302341876208253,-0.00974560078611394
"C..Glaphyrocanthon.27",0.401978922047296,0.00581100146597656,-0.0388319197253068
"C..Glaphyrocanthon.28",0.471571897310637,-0.0189423219879845,-0.0318172633687296
"C..Glaphyrocanthon.29",0.66102894585276,0.0415067128830886,-0.0348970788099878
"C..juvencus",0.286197676777006,-0.0183136367008911,-0.0261029111532142
"C..juvencus.1",0.0180157443428802,0.0909773272915751,0.0270190403001409
"C..juvencus.2",0.0148691108885795,0.0314340098303,0.0579763818045507
"C..juvencus.3",-0.0508807759108722,0.0201414142773383,0.046953268332649
"C..juvencus.4",0.0424097276780757,0.0445036640370734,0.0556844650442385
"C..juvencus.5",0.0570322863812704,0.0791246080840736,0.0547562547826071
"C..juvencus.6",0.161205269897192,0.132351163769532,0.0273837054727819
"C..juvencus.7",0.129975465741581,0.0819234683767298,0.0389713367931977
"C..juvencus.8",0.0148735363012478,0.0592646987409948,-0.0039947300671287
"C..juvencus.9",0.0507877488402422,0.0438075645200897,0.0351221724963052
"C..juvencus.10",0.0434471116527497,0.0763792678187622,0.0334678792222793
"C..juvencus.11",0.0536963931444083,0.0335199084801665,0.0541062525790596
"C..juvencus.12",0.0350781675262981,0.095111845706558,0.0183101758907677
"C..juvencus.13",0.0849535655326016,0.0324093902592672,0.0464330680935599
"C..juvencus.14",0.0829460801395201,0.0565068321452198,0.0276100180480852
"C..juvencus.15",0.0676066510802124,0.0710587435274676,0.0235667617387
"C..juvencus.16",0.0672463101904018,0.104200872770969,0.0240050290708088
"C..juvencus.17",0.0951078600058432,0.1196982951114,-0.00206000227252348
"C..juvencus.18",0.171124750919057,0.129340323808395,0.0417051624394118
"C..juvencus.19",0.02249643759846,0.0374858113642712,0.0541604201354321
"C..juvencus.20",-0.0675542095271787,0.0191315807418876,0.0346960362836517
"C..juvencus.21",0.0417480390208669,0.0755603820802219,0.0384847923585551
"C..juvencus.22",-0.164420893805149,0.00847849468169334,0.0165819770226355
"C..juvencus.23",0.0565739577991868,0.0727370430702267,0.0582190200324787
"C..juvencus.24",0.0351268087463486,0.0549263235991644,0.0594697105819353
"C..juvencus.25",-0.0315209801158551,0.0651594778731662,0.0398823111450724
"C..juvencus.26",0.0812371668905278,0.0861688202182146,0.0206395991486319
"C..juvencus.27",0.000632624666131739,0.0415066637986993,0.0453523579440902
"C..juvencus.28",0.0200514106259387,0.0457441097231811,0.0444484155303227
