"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"20200123_M4_D_13_38_50_0006",-0.0651096424186442,-0.0746403517186936,0.0173077193071502,0.00964463971392195,-0.00571664812570996,0.0233238330927419,-0.00704650541342944,0.0175513389059998,0.0200031924060403,0.0155200843592774,0.00753020130833145,-0.00742336778909573,0.0137170758975422,0.000534649615514426,-0.00503306018453213,-0.0125011134461776
"20200123_M4_D_13_38_50_0008",-0.04133187973314,-0.101247046056503,0.00325907897000161,-0.0228777269947239,-5.76266768103489e-05,0.0181630378147199,-0.0200027716599459,-0.0189174904805041,0.00615757121087851,-0.000277914192141227,-0.00977619543664686,-0.00474676164896709,0.00441909207986101,-0.010259252245094,0.00764048618447589,-0.000869966266967993
"20200123_M4_D_13_38_50_0010",-0.017940933985843,-0.120938123982658,0.0610905080107036,-0.0233109806092806,-0.00466101691839262,0.010720795437638,-0.00799494201797077,-0.0236113225981939,-0.00936382110482501,-0.00365123212346386,0.0059190995214216,-0.00450291709147126,-0.00311290548455132,-0.00819797517164732,-0.00457573209236881,0.0111930506331948
"20200123_M4_D_13_38_50_0012",-0.0153307411878519,-0.109087761227135,0.0322027799194957,-0.0256681443281614,0.00966840814364384,0.0152342891279669,0.00274647367564575,-0.0362087430414755,-0.00108432828549024,-0.00891198365557233,0.0167326574032331,0.0173608112063587,0.00962095491398949,0.00528092005304857,-0.00331295309209118,-0.000416829559902145
"20200123_M4_E_13_53_17_0002",-0.0617827869673097,-0.0809751854735794,-0.0101795054854104,0.0091708013160897,0.0235519414013237,0.0313007707574376,-0.00898200739120388,0.00161155878387034,-0.00105585175377374,0.0146115562749756,-0.0112158928358053,-0.000875237110695675,-0.00237069845357284,0.00643254912908639,-0.000357089482622607,0.00999383939137279
"20200123_M4_E_13_53_17_0004",0.0141198025174121,0.0369089648817826,0.0150087364923786,0.0113887939133602,0.0480681328291664,-0.0121293695653134,-0.00210115361675504,-0.0093059357033461,0.0107680416627114,-0.0167651603825784,-0.00252463605532414,0.0288678077632521,0.0232592926276216,0.022652403131231,0.0101604077505859,-0.00307567608744061
"20200123_M4_E_13_53_17_0006",-0.0855859491173554,-0.0684555893652715,0.0328522129561089,0.00210780327279025,-0.0197804120466846,0.0099237274505865,-0.0221408042275535,-0.00401156168085924,-0.0155497510473994,-0.00651998930887433,0.00802947692696774,-0.00554787091443171,0.0117713381338765,-0.00409589629899554,-0.007354788657434,0.025145526261798
"20200123_M4_E_13_53_17_0008",-0.00255490073444974,-0.0736838320362734,0.0154097772331464,0.000597384336198017,0.0377727000335957,-0.0143143772714612,-0.0264835124172773,-0.0332787416670762,0.00708245827020643,-0.00372262240959968,-0.00570981118040477,0.00396683518751453,-0.0120599416511554,-0.00211177183129252,0.0104880568187082,-0.00199699727637029
"20200123_M4_E_13_53_17_0010",-0.0543801114348021,0.050894636449773,0.0299370877922856,-0.0168477104529573,0.0425456025383181,0.015060479409497,-0.0318947143798644,0.0125283088981732,0.000133913347052742,0.0332315107739878,0.00467071168776264,-0.0110587341650934,0.0129225974080836,-0.00588141973233521,-0.000144454113990831,0.0074994401045276
"20200123_M4_E_13_53_17_0012",-0.040951294457296,-0.0684940461692101,0.0218959553614778,-0.00125988035968609,0.0169407671213283,0.00730647417632943,-0.0111831607191587,-0.00167878541109241,0.0119182981487033,-0.0157528728284416,-0.0047167288628899,-0.00306462156107746,-0.00548348380344162,0.00850505774142302,0.00588546517294601,0.00282637322724738
"20200123_M4_E_13_53_17_0014",-0.0357423184919276,-0.0770513786736113,0.0363077530277381,-0.000323184726096701,0.0206555606088721,0.00585541236038062,-0.0121036928579918,0.0112339754326779,0.00641659534131662,0.00698821943368723,-0.00181317587482877,-0.0014595440842964,0.00432276002604022,0.00149463264998512,-0.00471014845097881,-0.00577753144737814
"20200123_M4_E_13_53_17_0016",-0.0129217353217136,-0.0602488489669105,-0.0215551848514153,0.0113821822491458,0.00842660457797909,-0.00119243597130143,-0.0210453940703158,-0.0380562989288549,0.00761204002321826,-0.00941730142757827,0.00661647043307634,-0.00278914272219148,-0.0111542487155969,0.00237274943813905,0.00326903842504225,0.00802467204767194
