"","PC1","PC2","PC3","PC4"
"Dichotomius.1",0.860720239711318,0.346136188213606,0.280158370788651,-0.0860788597028181
"Dichotomius.2",0.148090410888536,0.242683823785753,0.200020907351681,-0.0835085491267567
"Dichotomius.3",1.12067233065288,0.527335141425646,0.0246555773312283,0.0704123380863135
"Dichotomius.4",1.29253582230517,0.688575443630642,0.0460067129142136,0.100749465839354
"Dichotomius.5",0.657319640719226,0.448051911453865,0.157877436446423,0.0214701649627573
"Dichotomius.6",0.244179100988987,0.43013852183346,0.0457950136591407,0.0272752750946055
"Dichotomius.7",1.96435378242771,0.77478990313478,-0.0709911498872056,0.134350055965934
"Dichotomius.8",0.190021138175503,0.48699614287042,0.0393592098606247,0.0659496791067799
"Dichotomius.9",0.679470884424863,0.5464439942999,0.0610056486574344,0.0580357275732813
"Dichotomius.10",0.0902919787802826,0.378181824855983,0.0446525562120531,-0.0193296675772976
"Dichotomius.11",0.823001613539698,0.460931896479944,0.133332509543045,-0.0455799642532136
"Dichotomius.12",1.99295012155105,0.52722887214392,0.345575112698361,-0.13201215550158
"Dichotomius.13",1.43196997136546,0.366300716924022,0.267426406761075,-0.133120672078977
"Dichotomius.14",0.890582451299648,0.343533966566487,0.282703934485108,-0.0693589407269439
"Dichotomius.15",0.459687093098732,0.439202762773204,0.125234339695037,-0.0208971983904228
"Dichotomius.16",0.470707732306534,0.380381555008422,0.114305170677973,-0.0681388388636228
"Dichotomius.17",1.35209706945842,0.59174508836422,0.0317373577967238,0.00651973598411829
"Dichotomius.18",1.62198649241475,0.645210615488501,0.0897196958585283,-0.0377834127031169
"Dichotomius.19",1.75773979550433,0.520509004498898,0.14438164103633,-0.0994584439639807
"Dichotomius.20",0.42488414018944,0.49497552169478,-0.000120292096744155,0.0883358267104649
"Dichotomius.21",0.980109768064586,0.363766108038605,0.248149299706002,-0.0470483880233317
"Dichotomius.22",0.88268315814225,0.506980307404501,0.0892595407208658,-0.0317624190804989
"Dichotomius.23",0.642970448485726,0.369925488788843,0.229222101172665,-0.0576736628114862
"Dichotomius.24",0.865412202740675,0.413368589159345,0.275924382411808,-0.0886274781078846
"Dichotomius.25",1.42065142629054,0.513336063506247,0.128432448622542,-0.0506702925626922
"Dichotomius.26",1.5997907654539,0.516791445655356,0.162181184925693,-0.0102773931026265
"Dichotomius.27",0.250344956163922,0.268345917020709,0.169576711945005,-0.0439190163777149
"Dichotomius.28",0.704478513275276,0.575588990372789,0.0232540674076847,0.0996144619445988
"Dichotomius.29",1.17097175246958,0.565440496172334,0.0568684608361969,0.0651127985027148
"Eurysternus",-1.7390309430014,-0.0862373308208396,-0.0801738060752424,-0.0637682377079374
"Eurysternus.1",-1.55423088959475,-0.0656270512989971,-0.0627495497402598,-0.0250106215007989
"Eurysternus.2",-1.89526827435292,-0.0553855807908916,-0.0553286902940228,-0.0441124006783224
"Eurysternus.3",-1.90538156766113,-0.0762391501840216,-0.0461066556702803,-0.0414911542978085
"Eurysternus.4",-1.80381773684235,-0.0646810132598716,-0.0636471713276314,-0.065713904717033
"Eurysternus.5",-1.44984654057333,-0.0405122607746219,-0.0736113817828632,-0.0124115255629553
"Eurysternus.6",-1.83096686780507,-0.0803783622185443,-0.0780932608153715,-0.0645927156720277
"Eurysternus.7",-1.58427068558374,-0.0847736990632142,-0.0906300378367702,-0.0479699092045794
"Eurysternus.8",-1.21795253753504,-0.00930802657860408,-0.132312980320733,-0.010309927952294
"Eurysternus.9",-1.18918054275279,0.0708042859992696,-0.118285371119302,-0.00510370001677571
"Eurysternus.10",-1.25134380805351,0.0218223637457313,-0.141320887464106,0.022120900963484
"Eurysternus.11",-1.65590851238217,-0.06911776430787,-0.0728936158825877,-0.0466702484820821
"Eurysternus.12",-1.87111799702935,-0.0509952525826008,-0.0691159286071379,-0.0524657698496077
"Eurysternus.13",-1.81313067158289,-0.0834182583756667,-0.0465399428527191,-0.0304065234416674
"Eurysternus.14",-1.98037440816248,-0.104915628644121,-0.0624786725169709,-0.0766519138386826
"Eurysternus.15",-1.92064010920553,-0.0986415323738695,-0.0634232553311912,-0.0549448959874322
"Eurysternus.16",-1.84224698784483,-0.100608363176954,-0.0690201637220861,-0.0707661795482837
