"","PC1","PC2","PC3","PC4"
"Ontherus.10",-1.00096977572751,0.21744548049722,-0.129935534007583,0.00946807981683137
"Ontherus.11",-0.860679529430096,0.225504948488739,-0.120366363222445,-0.00126335343776204
"Ontherus.12",-0.739887200833413,0.265069405343204,-0.226803200282577,0.0033598899164457
"Ontherus.13",-1.08297104708328,0.154432102726873,-0.141442853028283,-0.00619840760361562
"Ontherus.14",-0.847802128027686,0.291392232549174,-0.114177472275619,-0.013033598674912
"Ontherus.15",-0.797113203887346,0.228896125727207,-0.18573177355809,-0.0356007743477033
"Ontherus.16",-1.02686782323974,0.199285742826143,-0.19347242097232,-0.0388589074936871
"Ontherus.17",-0.897932091577879,0.252689275623837,-0.156366229336262,0.0172937597368825
"Ontherus.18",-0.784721332236257,0.340269265686352,-0.16428588804172,0.00875422210250262
"Ontherus.19",-0.630614660147504,0.380343434830856,-0.117473178162632,0.0609006011276749
"Ontherus.20",-0.683745591600339,0.309095647965179,-0.253134593660137,0.00119337550415421
"Ontherus.21",-0.57611781732219,0.315972754172582,-0.178683797970304,0.047189432819455
"Ontherus.22",-0.793683649625049,0.270772146047876,-0.18743723234238,0.036653596624404
"Ontherus.23",-0.868251860522538,0.22620537909029,-0.177233772519957,0.00942437256613951
"Ontherus.24",-1.05967559142422,0.194489201383913,-0.118621080025408,0.0332878323142097
"Ontherus.25",-0.269614950994789,0.359222724170152,-0.149094850443276,0.081344598069664
"Ontherus.26",-0.935036738926395,0.242319562192026,-0.16422341906437,-0.00751455171355933
"Ontherus.27",-0.220698591310269,0.331292110059845,-0.302869300532883,-0.0145666618056825
"Ontherus.28",-0.890437254629084,0.216495645493056,-0.184841162929,0.000359999544115364
"Ontherus.29",-1.00672339032198,0.254399950300262,-0.116241525029081,0.0431803945808457
