"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"E012",0.0369327252635112,-0.0702067552125339,0.0262845004705457,0.00889393321119047,0.00167452748645488,-0.00120111676329023,-0.00890903949981456,0.00966913617165242,-0.00571913663128869,0.00270179226533438,-0.00257738404557405,0.000842795271131578,-0.00920115752817319,-0.000880364544255458,0.0022886236545744,0.00165209588851795,0.00157806902198758,-0.00501092646779306,-0.00224971779597146,0.000407797622505203,0.00128247070189388,-0.00190698563488632,9.68673199529659e-05,-0.00301622051782246,-0.000253559640720287,-0.00372974737268429,0.00109991418960866,-0.00199425363960522,-0.000742998150083965,-0.000807846919192849,0.000480598041855007,2.32736052925967e-05,-6.54493714468112e-05,0.000187944664350355,-0.000157985217047988,-0.000609605404745944
"E013",0.0441222917968916,-0.0818481765764045,0.0345707135265406,0.0148604821215578,-0.00370687682295335,0.00884718087640644,-0.00637424536941189,-0.00799577586067397,-0.000490849080595954,0.01631168719997,0.00716676932013329,-0.00300559580748002,0.00829822049779018,0.00153102894343402,-0.00981200318601311,0.00456424301586113,0.000427298561261254,-0.00151477732220099,0.000457613929053985,-0.000629857026320737,0.00444406608449615,0.00274552148668544,0.00076303129479195,0.000172999662772264,-0.000916746955511597,-0.00261651313097494,2.61158691156118e-05,0.00159388161269442,0.000660365372391534,9.27565968777763e-05,-9.64866597464984e-05,6.04535637127208e-05,-2.17016122582687e-06,0.000192317557792892,0.000238114944050742,0.000803228125588255
"E014",0.0357773666384897,-0.074079196970288,0.0323378569899904,-0.00223947043787457,-0.0122315865028205,-0.0134226422188455,-0.0027744884560605,0.00214142525353074,-0.0059434156876983,0.00778446326178459,-0.00234257642874379,0.00781664405007188,-0.00734714862934704,-0.000773306263424889,0.00576645585101728,-0.0016694786764424,0.00037042123408507,-0.00216668016968907,0.0066999414311564,0.00212813299196603,0.00425327769474154,0.00256128832900688,-0.000336489501661743,-0.00196201846650717,-0.000691534041707857,-9.07781881516692e-05,0.00262891842500479,-0.00220271147517765,0.00279973128055527,-0.00187931903590332,-0.000509438421332364,0.000133897496580736,-0.000231177780187795,0.000582952936119133,0.000744587422173171,-0.000779272471492801
"E015",0.0236690549433401,-0.102749287743136,0.0321321411518734,0.0121849636644758,-0.0116055943015494,0.00272754707482922,-0.0158942593316573,-0.0102590926161149,0.00830768069737435,0.00835253513886498,-0.00295911418059168,-0.00102681419705436,0.00170376571800894,0.00312096639788628,-0.00199565033181878,0.00198364525525351,-0.00175596478614289,-0.00469096455302522,0.00117576558472008,0.00292734104980288,-0.00161820274165555,-0.000212205116665996,0.0047135175180315,-0.00433148497834132,0.00105110973950982,0.00063466648534185,0.000858173455007338,0.000460616309892646,0.00083265602595409,-6.42523900297096e-05,0.000786770989215895,0.00121365051909265,-0.000807300136230739,0.000504135498464721,9.21981409152605e-05,6.52930798997947e-05
"E016",0.0256500078149972,-0.0956490700154353,0.0252921273333765,0.00916112452833234,0.00123197459570797,0.0203361079999369,-0.00797327970243633,-0.00501569055846345,0.00865429295870003,0.00250049141097741,0.00348835630627344,0.00822600380738454,-0.000589298754773483,0.00449260160883071,0.000999814329286583,0.00215571784199196,-0.00086000828001174,0.00228609386140837,0.00160960017633774,-0.00666357547871807,0.00247376409834692,5.30918443323669e-06,0.000543071630776283,-0.00499446177216652,-0.00101979850426153,-0.00310676727875328,-0.00178039200729724,-0.000151378596821632,0.00201173633172564,-4.87460823252943e-06,-4.66601988246052e-05,-3.67823186101981e-05,-0.000679851710407711,-0.000134527935247936,-0.000360196079965465,-5.55654250262405e-05
"E017",0.0329399322784163,-0.0847566779787649,0.0336375230771698,0.0116332668890557,-0.00530890802056745,-0.00929283282063616,-0.00758542478347634,0.00964905062666663,0.00621688835878722,0.00665981802553117,-0.00263667660045538,-0.0026882150688161,-0.00674102818593303,-0.00300967010684159,0.00205279785856608,-0.00206075664798146,-0.00698794384946811,-0.0021689265444385,-0.00373369883091286,-0.003217183361091,-0.00060901648056952,0.00236190728611957,0.00456788802581681,-0.00328699352146308,0.00339129639934472,-0.000707474663743316,0.00126007042634262,2.92016887955847e-05,-0.00045949978313815,-0.00112677979192881,-0.00115361143931712,-0.00166244240332526,-0.000750616141685669,-0.000342360218822821,0.000155396721684838,-0.000720298345374506
"E018",0.0667998069582417,-0.0558629606947209,0.0138318537112133,-0.0284773888554306,-0.000185385060987218,-0.010113619312551,-0.00167670984044415,0.011211013889091,0.00672234886954616,-0.00810880727049309,-0.0100876180978993,-0.0024271052056762,-3.99734945947077e-05,0.00503009292151476,0.00791148360664893,0.00206931715093096,-0.00573347549299203,0.000312010903425928,0.00249874239659735,-0.00111615328972571,-0.00382330908812493,-0.00244209187693553,-0.0037990422950216,0.00423607372142967,-0.00155378117265495,8.36152028288133e-05,-0.00518011969343131,0.00104620383711767,-0.00169573861923959,-0.00219429054288867,0.000222722130940357,0.000431385194615735,-0.000572569258155724,0.000143834369937952,-0.000254222151223849,-0.000164803508887854
"E019",0.0644128277157177,-0.0760816566167974,0.0137617906861961,-0.019637482073034,0.00471315292124679,-0.0117624392086425,0.0118257112866682,-0.0059607628952895,0.00977113173267033,-0.0093383386004113,-0.00762570126756308,0.00715177809685838,-0.00447455644577121,0.00142711476894277,-0.00307711086523459,-0.00248707082618379,-0.00830766529584651,-0.00123831691923374,-0.000388655923819093,-0.0022621833882267,0.00459561952918791,0.00329109515605342,0.00488461770237579,-0.00273012882351979,-0.000911059520087059,-0.00330694694451949,0.00164092425148049,-0.000996953957827457,0.00339121831051148,0.000634044346400975,-9.78389746190112e-05,-0.00155908269778774,0.000518214181586721,-0.000259974830361152,-0.000286359278106973,-5.07801660257343e-05
"E020",0.0775458232993159,-0.0893117826586078,0.02115188087169,-0.0295625282543286,0.00179843796696588,-0.0158035302168668,0.000457835057565958,-0.0079738134862417,0.00213236599763849,-0.00504352411100877,-0.00263068348669732,0.00973168078004499,0.00409174911914906,0.00832431647328262,0.00259035490659292,0.00108681831240055,-0.00393393640348363,-0.000649688506653611,-0.00512901788183369,0.00129262583761425,0.000529931161242292,-0.00281001552698923,-0.00687603950746285,0.00353417542531966,0.000363998832623432,-0.00144774341928298,0.000375564753470513,-0.000992098444066187,-0.000653942312074091,0.000148588857401216,7.06309360835154e-05,-0.00102426273776849,-0.000361753097869055,-0.000402848794224263,-0.000318256182905594,-0.00105790785452584
"E021",0.0707284195946308,-0.0720498001885152,0.0226643722571566,-0.0222744472625867,0.000198901518585385,-0.0151375635988799,0.00800679201151132,-0.00572962463505344,0.00114248221672574,-0.00910314865484275,9.92334132664446e-05,-0.00831938951843858,-0.000281665137407782,-0.00155635610225108,-0.00626341877003437,-0.0030054844126388,-0.000479754659817784,0.000478822771130976,-0.00731201406037612,-0.00825355813143435,0.00032602201402851,-0.00345681278039193,-0.00130098115641108,-2.16992425399435e-05,0.000562548822253192,-0.001459848979295,-0.00257823029398747,-0.00196203115435585,0.0020501538461798,-0.00179039604289835,-0.000557864010927335,0.000342512728420077,0.00214750293182038,0.000844157092590575,-0.000218046338002068,-0.000835649821660151
"E022",0.0638160470308997,-0.0683746421603328,0.0266738929977877,-0.0304532917976194,-0.00894219846020111,-0.00726334330434641,0.00618192197893693,0.00535662167131922,0.0107304823994497,-0.0056838970070937,0.00612305307470492,-0.00578689936007973,0.00646758977555634,-0.00445288167492054,0.0117625498927071,-0.00599105854081117,0.0123534447220586,-0.00252621294207189,0.00503944069801932,-0.00335311062735174,-0.00124912282730128,0.00206586054466234,0.00497341734535704,-0.000199705485944194,0.00396825818259733,0.00236648987291687,-0.00274449296818169,-0.00201829628876649,0.000713402164872734,-0.00190078182611407,-0.000482851042122152,-0.000798400740964021,-0.000863629756777991,-0.000597034476989146,-0.000203633989220061,0.000707591732024134
"E023",0.0849242200532687,-0.0746523228532136,0.0143601732974043,-0.038432899764341,-0.00263209049886142,0.00410896792950411,-0.00322217709105799,0.01122349846917,0.00786564251230804,-0.00799103804616052,-0.00468259772599007,-0.00793864027434548,0.00568337587173562,-0.00263926556330059,0.00276445307353445,0.00144980600548236,-0.00371222961928216,0.00656149222337528,-0.00571662345684401,0.00330703109480075,-0.00294391749171563,-0.000693322906020011,-0.00077921033436345,0.00195228457647828,-0.00260078815034246,-0.002273150984622,0.00126345683579651,0.00015658820085464,-0.00122782515886709,-0.001895919420332,-0.000170808364933772,0.000540359878543961,-0.000548935853392207,0.000795571382498239,-0.000146705350946324,0.000698148337033913
"E024",0.0777712182209836,-0.0595182158675146,0.0115203974370323,-0.0342115300528117,-0.00105132378605914,-0.00669783896648565,0.00503084459933609,-0.00808443509291211,0.00113957278652821,-0.00915406012547502,0.00602325457574129,-0.00152994739693311,-0.000802541614456338,0.00440211113534574,-0.000325270564509937,0.00773013963154092,0.00369530946307969,0.00271037964078823,0.00612953022350704,-0.0020157281827837,-0.00676854373751947,-0.00213458181718893,0.00145912693090051,-0.000654314938367964,-0.00269532913999389,-0.00151578189544166,0.000548750908121141,0.000543336502986387,-0.00269376060179463,0.0036619590707562,0.000481199073272768,0.000384412531835113,-0.000973516479055097,0.00038060920306664,0.000422713705458031,0.000688273485473264
"E025",0.0737482484821387,-0.0742563001427631,0.0186607631244975,-0.0250745234148545,0.0031637430693336,-0.00976015248721085,0.00801594847386954,-0.00165454441679564,0.00204538140730754,-0.00156797527047577,-0.00322400523009488,0.00208449696665313,0.00576759298536786,0.00437481973942008,-0.00284278144576642,0.00519161001178753,-0.00603541243748404,0.00201338873760602,-0.0047098470162534,-0.000431266754375909,0.00216602915515236,-0.000228961513162785,0.000234769993342883,-0.000571100093150234,-0.00296029468530479,0.00212077029901983,0.000388849021957913,0.000242499628024487,-0.00104049982951565,-0.00103567351315292,0.000592701335404445,0.000675433073394771,-0.00077884849344364,0.000131855708003319,0.00063163811720153,0.000652068278127541
"E026",0.0737592103763864,-0.0831155509823614,0.00602080963591196,-0.0266177308200117,0.00892416894612512,0.0100465809686418,0.00171632585969636,0.00674855492350506,0.0180568195679439,-0.00564633440418682,0.00481493933981578,0.00315824773537357,0.00424783272313112,0.00214924584231462,0.00309175827658143,0.00467281481078079,0.00732994295506956,0.0113606574670796,-0.00174626985753949,0.00307090963993046,-0.00414932317946506,0.00365646549245871,0.00206587553261742,0.00178061258317308,0.00287775028630446,0.000103018861433853,0.00366110894208421,-0.00104963127303222,-0.00102845328098705,0.00142245569671053,-0.00145313537077334,-0.000143913710465622,-0.000406682793032943,-0.000341599797865127,0.000726024850702682,0.000279113604583776
"E027",0.0382157093919735,-0.0939432876129384,0.0365889417419777,0.00473853059677914,-0.00479314471123429,0.00180686560752275,-0.0131524645266888,0.000987840251622678,0.00518705742365116,0.0106441802795136,-0.000878824434099975,0.00109698449425386,0.000294351111956891,-0.00312312878190545,0.00332608537285993,0.00330829823678753,0.00652939411631838,-0.000318980078041467,0.00111018871190949,0.000671882363790567,-0.00255181181843284,0.00274782932966901,0.00210872052810503,0.00172175555181231,0.00269350488413938,0.00326559752680292,-0.00029245487331224,-0.000896983594992458,-0.00154406353473744,0.00150460598322425,-0.000312259469396463,0.000497353303462187,0.00015791582439591,-0.000198157473975125,0.000371975995920234,-0.000401444538599209
